                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.01913,                0.99954,                      1,                 4.1883,              0.0031195,              0.0031195,              0.0031195
                    141,                0.02668,                0.99954,                      1,                 4.1883,                0.00307,                0.00307,                0.00307
                    142,                0.02126,                0.99954,                      1,                 4.1882,              0.0030205,              0.0030205,              0.0030205
                    143,                0.02221,                0.99954,                      1,                 4.1882,               0.002971,               0.002971,               0.002971
                    144,                0.01999,                0.99954,                      1,                 4.1882,              0.0029215,              0.0029215,              0.0029215
                    145,                0.01679,                0.99954,                      1,                 4.1882,               0.002872,               0.002872,               0.002872
                    146,                0.02005,                0.99954,                      1,                 4.1882,              0.0028225,              0.0028225,              0.0028225
                    147,                0.01337,                0.99954,                      1,                 4.1882,               0.002773,               0.002773,               0.002773
                    148,                 0.0198,                0.99954,                      1,                 4.1882,              0.0027235,              0.0027235,              0.0027235
                    149,                0.02246,                0.99954,                      1,                 4.1882,               0.002674,               0.002674,               0.002674
                    150,                0.01826,                0.99954,                      1,                 4.1882,              0.0026245,              0.0026245,              0.0026245
                    151,                0.01505,                0.99954,                      1,                 4.1882,               0.002575,               0.002575,               0.002575
                    152,                0.02433,                0.99954,                      1,                 4.1882,              0.0025255,              0.0025255,              0.0025255
                    153,                0.01725,                0.99954,                      1,                 4.1882,               0.002476,               0.002476,               0.002476
                    154,                0.01648,                0.99954,                      1,                 4.1882,              0.0024265,              0.0024265,              0.0024265
                    155,                0.01403,                0.99954,                      1,                 4.1882,               0.002377,               0.002377,               0.002377
                    156,                0.01047,                0.99954,                      1,                 4.1882,              0.0023275,              0.0023275,              0.0023275
                    157,                0.01358,                0.99954,                      1,                 4.1881,               0.002278,               0.002278,               0.002278
                    158,                0.01292,                0.99954,                      1,                 4.1881,              0.0022285,              0.0022285,              0.0022285
                    159,                0.01303,                0.99954,                      1,                 4.1881,               0.002179,               0.002179,               0.002179
                    160,                0.00912,                0.99954,                      1,                 4.1881,              0.0021295,              0.0021295,              0.0021295
                    161,                0.01889,                0.99954,                      1,                 4.1881,                0.00208,                0.00208,                0.00208
                    162,                0.01128,                0.99954,                      1,                 4.1881,              0.0020305,              0.0020305,              0.0020305
                    163,                 0.0118,                0.99954,                      1,                 4.1881,               0.001981,               0.001981,               0.001981
                    164,                0.01273,                0.99954,                      1,                 4.1881,              0.0019315,              0.0019315,              0.0019315
                    165,                0.00698,                0.99954,                      1,                 4.1881,               0.001882,               0.001882,               0.001882
                    166,                0.00896,                0.99954,                      1,                 4.1881,              0.0018325,              0.0018325,              0.0018325
                    167,                0.01149,                0.99954,                      1,                 4.1881,               0.001783,               0.001783,               0.001783
                    168,                0.01229,                0.99954,                      1,                 4.1881,              0.0017335,              0.0017335,              0.0017335
                    169,                0.01004,                0.99954,                      1,                  4.188,               0.001684,               0.001684,               0.001684
                    170,                0.01018,                0.99954,                      1,                  4.188,              0.0016345,              0.0016345,              0.0016345
                    171,                0.00887,                0.99954,                      1,                 4.1881,               0.001585,               0.001585,               0.001585
                    172,                0.00745,                0.99954,                      1,                  4.188,              0.0015355,              0.0015355,              0.0015355
                    173,                0.00873,                0.99954,                      1,                  4.188,               0.001486,               0.001486,               0.001486
                    174,                0.00787,                0.99954,                      1,                  4.188,              0.0014365,              0.0014365,              0.0014365
                    175,                0.00539,                0.99954,                      1,                  4.188,               0.001387,               0.001387,               0.001387
                    176,                0.00909,                0.99954,                      1,                  4.188,              0.0013375,              0.0013375,              0.0013375
                    177,                 0.0079,                0.99954,                      1,                  4.188,               0.001288,               0.001288,               0.001288
                    178,                 0.0091,                0.99954,                      1,                  4.188,              0.0012385,              0.0012385,              0.0012385
                    179,                0.00729,                0.99977,                      1,                  4.188,               0.001189,               0.001189,               0.001189
                    180,                0.00605,                0.99977,                      1,                  4.188,              0.0011395,              0.0011395,              0.0011395
                    181,                0.00535,                0.99977,                      1,                  4.188,                0.00109,                0.00109,                0.00109
                    182,                0.00783,                0.99977,                      1,                  4.188,              0.0010405,              0.0010405,              0.0010405
                    183,                0.00742,                0.99977,                      1,                 4.1879,               0.000991,               0.000991,               0.000991
                    184,                0.00635,                0.99977,                      1,                 4.1879,              0.0009415,              0.0009415,              0.0009415
                    185,                0.00791,                0.99977,                      1,                  4.188,               0.000892,               0.000892,               0.000892
                    186,                0.00584,                0.99977,                      1,                  4.188,              0.0008425,              0.0008425,              0.0008425
                    187,                0.00576,                0.99977,                      1,                  4.188,               0.000793,               0.000793,               0.000793
                    188,                0.00336,                0.99977,                      1,                 4.1879,              0.0007435,              0.0007435,              0.0007435
                    189,                0.00695,                0.99977,                      1,                 4.1879,               0.000694,               0.000694,               0.000694
                    190,                0.00812,                0.99977,                      1,                 4.1879,              0.0006445,              0.0006445,              0.0006445
                    191,                0.00558,                0.99977,                      1,                 4.1879,               0.000595,               0.000595,               0.000595
                    192,                0.00466,                0.99977,                      1,                 4.1879,              0.0005455,              0.0005455,              0.0005455
                    193,                0.00567,                0.99977,                      1,                 4.1879,               0.000496,               0.000496,               0.000496
                    194,                0.00503,                0.99977,                      1,                 4.1879,              0.0004465,              0.0004465,              0.0004465
                    195,                0.00328,                0.99977,                      1,                 4.1879,               0.000397,               0.000397,               0.000397
                    196,                0.00498,                0.99977,                      1,                 4.1879,              0.0003475,              0.0003475,              0.0003475
                    197,                0.00322,                0.99977,                      1,                 4.1879,               0.000298,               0.000298,               0.000298
                    198,                0.00484,                0.99977,                      1,                 4.1879,              0.0002485,              0.0002485,              0.0002485
                    199,                0.00577,                0.99977,                      1,                 4.1879,               0.000199,               0.000199,               0.000199
                    200,                0.00355,                0.99977,                      1,                 4.1879,              0.0001495,              0.0001495,              0.0001495
